ticker,score,verdict,entry_quality,edge_position,breakout_risk,structure_score,regime_score,liquidity_score,support,resistance,range_width_pct,position_in_range,support_touches,resistance_touches,containment_ratio,rotation_count,tightness,trend_leakage,adx_14,atr_pct,ema20_slope_pct,avg_volume_20,avg_dollar_volume_20,latest_close,data_start,data_end,risk_note,reason,skip_reason
ADSK,80.75,RANGE_PRESSING_RESISTANCE,66.3,NEAR_RESISTANCE,LOW,78.6,75.4,92.5,229.13,247.61,8.07,0.832,21,27,0.3333,6,0.5505,0.4545,13.47,3.55,2.21,1847458.0,443734842.0,244.5,2025-11-14,2026-05-08,,6 rotations (strong); width 8.1% (good); strong reactions; price near resistance,
FTNT,40.0,BROKEN_UP,0.0,BROKEN_UP,HIGH,84.5,48.8,100.0,75.99,86.92,14.38,3.484,27,27,0.8917,9,0.43,0.42,21.5,3.96,10.96,6101002.0,550624822.0,114.07,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,9 rotations (strong); width 14.4% (wide); strong reactions; BROKEN above resistance; breakout risk HIGH; entry not ideal (0),
ROP,85.67,BROKEN_DOWN,0.0,BROKEN_DOWN,MODERATE,84.9,79.4,89.7,344.45,364.08,5.7,-0.058,34,32,0.4333,9,0.4655,0.405,16.03,2.62,0.39,1186257.0,423012801.0,343.32,2025-11-14,2026-05-08,,9 rotations (strong); width 5.7% (good); strong reactions; BROKEN below support; breakout risk moderate; entry not ideal (0),
NXPI,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,83.7,16.8,100.0,224.47,244.43,8.89,3.521,34,19,0.425,9,0.5318,0.3896,41.32,3.88,29.59,4043572.0,1054598142.0,294.75,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,9 rotations (strong); width 8.9% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
ABNB,40.0,BROKEN_UP,0.0,BROKEN_UP,HIGH,74.7,63.4,100.0,121.3,136.88,12.84,1.296,21,31,0.6333,7,0.5661,0.3175,16.27,3.22,7.99,3692882.0,517243374.0,141.49,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,7 rotations (strong); width 12.8% (wide); strong reactions; BROKEN above resistance; breakout risk HIGH; entry not ideal (0),
PCAR,50.0,WIDE_RANGE,59.7,LOWER_HALF,LOW,70.4,72.0,81.7,110.36,129.96,17.75,0.202,20,23,0.85,4,0.5774,0.36,23.11,2.77,-0.92,2975333.0,362415416.0,114.31,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,4 rotations (adequate); width 17.8% (too wide); strong reactions,
MNST,40.0,BROKEN_UP,0.0,BROKEN_UP,HIGH,69.4,74.8,86.0,72.68,78.42,7.9,2.371,25,37,0.625,3,0.5256,0.3571,18.81,2.89,3.26,5075968.0,394748767.0,86.29,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,3 rotations (adequate); width 7.9% (good); strong reactions; BROKEN above resistance; breakout risk HIGH; entry not ideal (0),
CHTR,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,MODERATE,69.1,34.8,89.8,208.96,217.59,4.13,-6.269,41,36,0.1833,4,0.5959,0.25,32.75,7.02,-16.03,3685622.0,685857404.0,154.86,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,4 rotations (adequate); width 4.1% (good); strong reactions; BROKEN below support; breakout risk moderate; entry not ideal (0),
WDAY,50.0,TRENDING_NOT_RANGE,56.5,UPPER_HALF,LOW,56.6,69.4,100.0,111.97,132.24,18.11,0.782,5,23,0.2833,4,0.5103,0.5833,16.31,5.31,-1.53,4824614.0,596222871.0,127.83,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,4 rotations (adequate); width 18.1% (too wide); trend leakage 58%; strong reactions,
PAYX,20.0,MESSY_RANGE,,,N/A,,,,,,,,,,,,,,13.35,2.82,1.19,3188675.0,293137311.0,93.93,2025-11-14,2026-05-08,,,No clear range structure detected
ROST,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,68.6,55.8,93.1,206.09,216.96,5.28,1.814,9,10,0.175,5,0.562,0.75,13.79,1.88,3.95,1984981.0,448552391.0,225.81,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,5 rotations (strong); width 5.3% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
KDP,72.56,TRENDING_NOT_RANGE,32.0,UPPER_HALF,LOW,74.4,51.0,79.1,26.81,29.87,11.42,0.66,27,19,0.7417,5,0.4893,0.2727,26.61,2.71,6.03,12343315.0,342911695.0,28.83,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,5 rotations (strong); width 11.4% (wide); EMA slope 6.0% (directional); strong reactions,
